0.02  0.2919
0.04  0.3408
0.06  0.3920
0.08  0.4214
0.10  0.4259
0.12  0.4516
0.14  0.5250
0.16  0.4464
0.18  0.4451
0.20  0.4329
0.22  0.4209
0.24  0.4093
0.26  0.3855
0.28  0.3824
0.30  0.3651
0.32  0.3709
0.34  0.3603
0.36  0.3372
0.38  0.3334
0.40  0.3102
0.42  0.3113
0.44  0.1700
0.46  0.2914
0.48  0.2797
0.50  0.2863
0.52  0.2570
0.54  0.2561
0.56  0.2553
0.58  0.2570
0.60  0.2585
0.62  0.2440
0.64  0.2497
0.66  0.2357
0.68  0.2297
0.70  0.2391
0.72  0.2288
0.74  0.1750
0.76  0.2309
0.78  0.2182
0.80  0.2056
