  0.00   17.4529
  0.16   16.1061
  0.32   14.2163
  0.48   14.1534
  0.64   12.8829
  0.80   12.3122
  0.96   12.0819
  1.12   11.5606
  1.28   11.0695
  1.44   10.5746
  1.60   9.94791
  1.76   9.60335
  1.92   9.31752
  2.08   8.66679
  2.24   8.74171
  2.40   8.20382
  2.56   7.95962
  2.72   7.85510
  2.88   7.52395
  3.04   7.24599
  3.20   7.00317
  3.36   6.95045
  3.52   6.41164
  3.68   6.37972
  3.84   6.21461
  4.00   6.15310
  4.16   5.79189
  4.32   5.64620
  4.48   5.31505
  4.64   5.30164
  4.80   4.83174
  4.96   5.03015
  5.12   4.50429
  5.28   4.45064
  5.44   4.16157
  5.60   4.30957
  5.76   4.32854
  5.92   3.64635
  6.08   3.83736
  6.24   3.82534
  6.40   3.80036
  6.56   3.40770
  6.72   3.41325
  6.88   3.40724
  7.04   3.10846
  7.20   3.50621
  7.36   2.83327
  7.52   3.20235
  7.68   2.95075
  7.84   2.45310
  8.00   2.70146
  8.16   2.47252
  8.32   2.64226
  8.48   2.16450
  8.64   1.99754
  8.80   2.09466
  8.96   1.91567
  9.12   2.05951
  9.28   2.12426
  9.44   2.19687
  9.60   2.17699
  9.76   1.49295
  9.92   1.36021
 10.08   1.40184
 10.24   1.95915
 10.40   1.16781
 10.56   2.03454
 10.72   1.33061
 10.88   1.38842
 11.04   1.36576
 11.20   1.29500
 11.36   1.07069
 11.52   0.93425
 11.68   1.50590
 11.84   1.13312
 12.00   0.71918
 12.16   1.09057
 12.32   0.96107
 12.48   0.72843
 12.64   1.04109
 12.80   0.62160
 12.96   0.43058
 13.12   0.58460
 13.28   0.84591
 13.44   0.41301
 13.60   1.02259
 13.76   0.46250
 13.92   1.03739
 14.08   0.37508
 14.24   0.44261
 14.40   0.15308
 14.56   0.29276
 14.72   0.24420
 14.88   0.18037
 15.04   0.08417
 15.20  -0.20766
 15.36  -0.29230
 15.52   0.52910
 15.68  -0.07353
 15.84  -0.03561
 16.00  -0.09620
 16.16   0.03885
 16.32  -0.22107
 16.48   0.20720
 16.64   0.54575
 16.80  -0.54713
 16.96  -0.07585
 17.12   0.05642
 17.28   0.16973
 17.44   0.22153
 17.60   0.25021
 17.76  -0.37508
 17.92  -0.25668
 18.08  -0.42503
 18.24  -0.85608
 18.40  -0.30293
 18.56  -0.40283
 18.72  -0.23680
 18.88  -0.60772
 19.04  -0.42272
 19.20  -0.26501
 19.36  -0.48423
 19.52  -0.76451
 19.68  -0.78856
 19.84  -0.51568
 20.00  -0.33855
 20.16  -0.61050
 20.32  -1.04386
 20.48  -0.16048
 20.64  -1.03415
 20.80  -0.58645
 20.96  -0.79920
 21.12  -0.52262
 21.28  -0.76960
 21.44  -0.49903
 21.60  -0.96200
 21.76  -0.59385
 21.92  -1.20157
 22.08  -0.73861
 22.24  -0.48007
 22.40  -0.77746
 22.56  -0.73861
 22.72  -1.10676
 22.88  -0.59015
 23.04  -0.93101
 23.20  -0.39636
 23.36  -1.01842
 23.52  -0.38110
 23.68  -0.72566
 23.84  -0.34918
 24.00  -1.25337
 24.16  -1.02906
 24.32  -0.91667
 24.48  -1.12526
 24.64  -0.50505
 24.80  -0.81816
 24.96  -1.20712
 25.12  -0.81816
 25.28  -0.99345
 25.44  -1.15856
 25.60  -1.22054
 25.76  -0.67895
 25.92  -1.02490
 26.08  -1.06837
 26.24  -1.24274
 26.40  -1.64187
 26.56  -1.08780
 26.72  -0.74601
 26.88  -1.20620
 27.04  -0.95228
 27.20  -0.96986
 27.36  -1.01010
 27.52  -0.42735
 27.68  -1.16550
 27.84  -1.25754
 28.00  -1.63586
 28.16  -1.11694
 28.32  -0.98096
 28.48  -1.46381
 28.64  -1.19047
 28.80  -1.64881
 28.96  -1.39351
 29.12  -0.89308
 29.28  -1.44947
 29.44  -1.12526
 29.60  -1.10260
 29.76  -1.56834
 29.92  -1.41062
 30.08  -1.53365
 30.24  -1.26817
 30.40  -0.51800
 30.56  -0.97125
 30.72  -1.52209
 30.88  -1.50081
 31.04  -0.91528
 31.20  -0.57858
 31.36  -0.94257
 31.52  -1.27511
 31.68  -1.23117
 31.84  -0.90095 
